coefficient,fixed_391_input_weighted_estimate_pp,population,estimate_role,inference_status,legacy_input_cluster_inference_status,invalid_legacy_fields,design_based_p_value,design_based_confidence_interval
MARGINAL::listing_model[WCL-vs-LBL]:budget_seconds[120-vs-1],3.133235797555801,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY]:window_gates[16-vs-4],3.337809442283981,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY]:window_gates[64-vs-4],3.122171250984198,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY]:budget_seconds[10-vs-1],5.699010545021194,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY]:budget_seconds[30-vs-1],5.690491767588178,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY]:budget_seconds[120-vs-1],5.726618951655156,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::window_gates[16-vs-4]:budget_seconds[10-vs-1],7.385391430705,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::window_gates[16-vs-4]:budget_seconds[30-vs-1],7.404241323691181,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::window_gates[16-vs-4]:budget_seconds[120-vs-1],7.395657735431431,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::window_gates[64-vs-4]:budget_seconds[10-vs-1],7.620144199239356,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::window_gates[64-vs-4]:budget_seconds[30-vs-1],7.732643664217782,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::window_gates[64-vs-4]:budget_seconds[120-vs-1],7.71175682269063,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
